in,out,beat,dajiao_finish,on position,zukuang_finish,a1,a2,b1,b2,c1,c2,c3,c4,time
2021/11/19 20:44,2021/11/19 20:44,29,43 33,43 57,44 21,26,23,45,45,82,44,44,82,18
2021/11/19 20:44,2021/11/19 20:45,29,44 02,44 29,44 49,26,22,46,45,84,43,43,83,18
2021/11/19 20:45,2021/11/19 20:45,31,44 34,44 58,45 19,27,23,46,45,83,44,45,83,19
2021/11/19 20:45,2021/11/19 20:46,80,45 02,45 27,45 49,25,23,46,45,84,42,44,82,18
2021/11/19 20:46,2021/11/19 20:47,48,45 32,45 58,47 09,26,23,46,45,83,44,43,83,19
2021/11/19 20:48,2021/11/19 20:49,57,47 22,48 05,48 34,27,23,46,45,82,46,45,82,18
2021/11/19 20:49,2021/11/19 20:50,57,48 09,48 42,49 30,26,23,46,45,83,43,43,82,19
2021/11/19 20:50,2021/11/19 20:54,267,53 53,54 01,54 10,26,22,46,45,84,43,43,83,18
2021/11/19 20:54,2021/11/19 20:55,32,54 31,54 39,54 55,26,22,46,45,83,43,43,83,37
2021/11/19 20:58,2021/11/19 21:04,366,04 06,04 14,04 24,26,21,46,45,83,43,43,84,36
2021/11/19 21:04,2021/11/19 21:04,22,04 25,04 36,04 46,26,23,46,45,82,44,44,83,37
2021/11/19 21:04,2021/11/19 21:07,156,04 44,04 54,05 05,27,23,47,46,84,42,43,84,19
2021/11/19 21:07,2021/11/19 21:08,64,05 03,05 13,07 41,26,22,46,45,82,44,43,84,19
2021/11/19 21:08,2021/11/19 21:09,81,09 29,09 37,09 47,26,21,46,45,83,46,44,83,18
2021/11/19 21:09,2021/11/19 21:10,34,09 48,10 00,10 09,26,22,46,45,81,45,45,82,37
2021/11/19 21:10,2021/11/19 21:11,34,10 08,10 18,10 40,26,22,46,45,82,43,44,83,19
2021/11/19 21:11,2021/11/19 21:11,38,10 27,10 48,11 14,26,22,46,45,84,43,43,83,19
2021/11/19 21:11,2021/11/19 21:12,30,10 53,11 23,11 52,25,23,46,45,84,42,43,84,19
2021/11/19 21:12,2021/11/19 21:12,32,11 27,12 00,12 22,26,22,46,45,84,42,43,84,19
2021/11/19 21:12,2021/11/19 21:13,30,12 05,12 31,12 54,26,22,46,45,84,43,43,83,19
2021/11/19 21:13,2021/11/19 21:22,542,12 35,13 02,13 24,26,22,46,45,83,45,45,82,18
2021/11/19 21:23,2021/11/19 21:26,183,22 39,23 08,23 37,26,23,46,45,83,44,44,83,19
2021/11/19 21:27,2021/11/19 21:28,84,28 05,28 13,28 23,25,21,46,45,84,42,43,83,20
2021/11/19 21:28,2021/11/19 21:28,22,28 24,28 36,28 45,26,22,47,46,81,47,45,81,37
