进料,出料,节拍,打胶完成,边框放到位,组框完成,长边扭矩1,长边扭矩2,短边扭矩1,短边扭矩2,边框1出胶量,边框2出胶量,边框3出胶量,边框4出胶量,打胶时间
2021-11-19 22:24:51,2021-11-19 22:25:10,19,23 42,24 02,25 05,26,23,46,45,83,43,43,84,18
2021-11-19 22:25:33,2021-11-19 22:25:53,20,24 07,25 14,25 48,25,21,46,45,83,44,45,83,19
2021-11-19 22:26:37,2021-11-19 22:26:56,19,25 19,25 56,26 51,26,23,46,45,82,45,45,81,19
2021-11-19 22:27:30,2021-11-19 22:27:49,19,26 01,26 59,27 44,25,22,46,45,81,44,45,81,19
2021-11-19 22:27:49,2021-11-19 22:28:08,19,27 04,27 52,28 03,26,22,47,46,84,43,44,82,19
2021-11-19 22:28:09,2021-11-19 22:28:28,19,27 57,28 11,28 23,26,23,47,46,83,43,43,83,18
2021-11-19 22:28:56,2021-11-19 22:29:15,19,28 16,28 31,29 10,26,21,46,45,84,43,43,84,18
2021-11-19 22:29:15,2021-11-19 22:29:34,19,28 36,29 18,29 29,26,22,47,46,83,44,44,83,18
2021-11-19 22:29:36,2021-11-19 22:30:01,25,29 23,29 37,29 51,27,24,47,46,81,44,44,81,18
2021-11-19 22:30:46,2021-11-19 22:31:05,19,29 42,29 59,31 00,26,22,46,45,84,43,44,83,18
2021-11-19 23:34:47,2021-11-19 23:35:06,19,30 04,31 09,35 01,34,39,46,45,84,43,43,83,19
2021-11-19 23:35:50,2021-11-19 23:36:09,19,31 13,35 09,36 04,40,43,46,45,84,43,43,84,18
2021-11-19 23:36:09,2021-11-19 23:44:18,489,35 13,36 12,36 23,34,39,47,46,82,45,45,81,19
2021-11-19 23:44:18,2021-11-19 23:45:21,63,36 16,36 31,44 32,26,22,46,45,83,44,44,83,17
2021-11-19 23:45:21,2021-11-19 23:50:28,307,50 05,50 13,50 23,26,23,46,45,82,43,43,81,37
2021-11-19 23:50:28,2021-11-19 23:50:50,22,50 24,50 36,50 45,26,22,47,46,82,44,43,83,37
2021-11-19 23:50:50,2021-11-19 23:51:10,20,50 43,50 54,51 04,27,23,47,46,85,42,42,85,19
2021-11-19 23:51:10,2021-11-19 23:51:40,30,51 02,51 13,51 24,26,23,47,46,83,43,42,83,20
2021-11-19 23:51:40,2021-11-19 23:52:08,28,51 39,51 47,51 56,26,22,46,45,85,43,44,82,18
2021-11-19 23:52:08,2021-11-19 23:52:50,42,52 27,52 35,52 44,26,22,46,46,84,43,44,83,36
2021-11-19 23:52:50,2021-11-19 23:53:36,46,52 46,52 57,53 07,26,22,47,46,83,43,43,83,37
2021-11-19 23:53:36,2021-11-19 23:54:11,35,53 05,53 15,53 50,26,22,46,45,83,44,44,82,19
2021-11-19 23:54:11,2021-11-19 23:54:54,43,53 24,53 58,54 26,25,22,46,45,84,45,45,83,19
2021-11-19 23:55:56,2021-11-19 23:56:15,19,54 03,54 34,56 10,26,22,46,45,83,43,43,81,20
2021-11-19 23:56:42,2021-11-19 23:57:01,19,54 39,56 18,56 56,26,22,46,46,82,44,44,84,17
2021-11-19 23:57:21,2021-11-19 23:57:40,19,56 22,57 05,57 35,26,22,46,45,84,43,44,83,19
2021-11-19 23:58:00,2021-11-19 23:59:02,62,58 40,58 48,58 57,26,21,46,46,82,44,44,83,19
2021-11-19 23:59:02,2021-11-19 23:59:40,38,59 17,59 25,59 35,25,21,46,45,84,43,43,84,36
2021-11-19 23:59:40,2021-11-20 00:00:17,37,59 54,00 02,00 12,26,22,46,45,84,43,44,83,37
2021-11-20 00:00:17,2021-11-20 00:00:54,37,00 32,00 40,00 49,26,22,46,45,81,45,44,81,35
2021-11-20 00:04:33,2021-11-20 00:05:48,75,05 26,05 34,05 43,26,21,46,45,83,44,44,84,37
2021-11-20 00:05:48,2021-11-20 00:06:11,23,05 45,05 56,06 06,26,21,47,46,83,43,45,83,37
2021-11-20 00:06:11,2021-11-20 00:06:55,44,06 04,06 14,06 25,27,22,47,46,84,43,43,83,19
2021-11-20 00:06:55,2021-11-20 00:07:45,50,06 23,06 34,07 10,26,22,46,45,83,44,43,83,19
2021-11-20 00:07:45,2021-11-20 00:08:16,31,06 42,07 18,07 59,26,23,46,45,84,42,43,84,19
2021-11-20 00:08:16,2021-11-20 00:08:51,35,07 23,08 07,08 31,26,22,46,45,84,43,44,83,19
2021-11-20 00:09:35,2021-11-20 00:10:07,32,08 44,09 43,09 53,26,23,46,45,84,43,43,84,18
2021-11-20 00:11:13,2021-11-20 00:12:23,70,10 06,10 30,11 28,26,22,46,45,84,43,43,84,19
2021-11-20 00:18:31,2021-11-20 00:26:57,506,26 35,26 42,26 52,25,21,46,45,83,45,44,82,19
2021-11-20 00:27:20,2021-11-20 00:27:54,34,27 12,27 23,27 34,27,23,47,46,84,42,43,84,19
2021-11-20 00:27:54,2021-11-20 00:28:26,32,27 32,27 42,28 08,26,23,46,45,84,43,44,83,19
2021-11-20 00:28:26,2021-11-20 00:29:02,36,27 51,28 16,28 40,26,22,46,45,85,42,43,84,19
2021-11-20 00:29:02,2021-11-20 00:29:34,32,28 21,28 49,29 16,26,22,46,45,84,42,43,84,19
2021-11-20 00:29:34,2021-11-20 00:30:21,47,28 53,29 25,29 48,26,22,46,46,83,43,43,83,18
2021-11-20 00:30:21,2021-11-20 00:31:08,47,29 30,29 56,30 36,26,22,46,45,83,44,43,83,19
2021-11-20 00:31:08,2021-11-20 00:31:45,37,30 01,30 44,31 22,26,23,46,45,84,42,43,83,19
2021-11-20 00:31:45,2021-11-20 00:32:18,33,30 49,31 30,31 59,26,22,46,45,83,43,44,83,18
2021-11-20 00:32:18,2021-11-20 00:33:41,83,31 35,32 07,32 32,25,23,46,45,84,43,43,84,19
2021-11-20 00:33:41,2021-11-20 00:34:02,21,32 12,32 40,33 55,26,23,46,45,84,42,43,83,18
2021-11-20 00:34:02,2021-11-20 00:34:31,29,32 45,34 03,34 16,26,22,47,46,83,44,44,83,18
2021-11-20 00:34:31,2021-11-20 00:35:04,33,34 07,34 24,34 45,26,22,46,45,83,45,45,82,18
2021-11-20 00:35:04,2021-11-20 00:38:29,205,38 06,38 14,38 24,26,22,46,45,82,44,44,82,20
2021-11-20 00:38:29,2021-11-20 00:38:51,22,38 26,38 37,38 46,26,22,47,46,83,43,43,84,37
2021-11-20 00:38:51,2021-11-20 00:39:10,19,38 45,38 55,39 05,27,23,47,46,86,42,44,83,19
2021-11-20 00:39:10,2021-11-20 00:39:40,30,39 04,39 14,39 24,26,22,48,46,84,43,43,84,19
2021-11-20 00:39:40,2021-11-20 00:40:09,29,39 23,39 33,39 54,27,23,46,45,82,44,43,83,19
2021-11-20 00:40:09,2021-11-20 00:40:42,33,39 41,40 02,40 24,26,22,46,45,83,44,45,83,19
2021-11-20 00:41:19,2021-11-20 00:42:07,48,41 45,41 53,42 02,26,22,46,45,85,42,43,83,19
2021-11-20 00:42:07,2021-11-20 00:42:29,22,42 04,42 15,42 24,26,22,47,46,84,44,43,84,37
2021-11-20 00:42:54,2021-11-20 00:43:24,30,42 42,42 52,43 08,26,23,46,45,84,44,44,84,19
2021-11-20 00:43:52,2021-11-20 00:44:34,42,43 21,43 47,44 07,26,23,46,45,84,42,42,84,19
