组框机状态,打胶机状态,打胶机是否缺胶,打胶机是否缺料,打胶机是否急停,时间
自动,空闲,否,否,否,2021-11-19 21:53:01
等料,空闲,否,否,否,2021-11-19 21:53:04
自动,空闲,否,否,否,2021-11-19 21:56:48
自动,运行中,否,否,否,2021-11-19 21:57:37
堵线,运行中,否,否,否,2021-11-19 21:58:22
自动,运行中,否,否,否,2021-11-19 21:58:29
堵线,运行中,否,否,否,2021-11-19 21:58:42
自动,运行中,否,否,否,2021-11-19 21:58:52
堵线,运行中,否,否,否,2021-11-19 21:59:12
自动,运行中,否,否,否,2021-11-19 21:59:25
堵线,运行中,否,否,否,2021-11-19 21:59:44
自动,运行中,否,否,否,2021-11-19 22:00:04
堵线,运行中,否,否,否,2021-11-19 22:00:17
自动,运行中,否,否,否,2021-11-19 22:00:37
堵线,运行中,否,否,否,2021-11-19 22:00:50
自动,运行中,否,否,否,2021-11-19 22:01:09
堵线,运行中,否,否,否,2021-11-19 22:01:23
自动,运行中,否,否,否,2021-11-19 22:01:39
堵线,运行中,否,否,否,2021-11-19 22:01:58
自动,运行中,否,否,否,2021-11-19 22:02:11
堵线,运行中,否,否,否,2021-11-19 22:02:31
自动,运行中,否,否,否,2021-11-19 22:02:41
堵线,运行中,否,否,否,2021-11-19 22:03:01
自动,运行中,否,否,否,2021-11-19 22:03:18
堵线,运行中,否,否,否,2021-11-19 22:03:31
自动,运行中,否,否,否,2021-11-19 22:04:04
堵线,运行中,否,否,否,2021-11-19 22:04:06
自动,运行中,否,否,否,2021-11-19 22:04:17
堵线,运行中,否,否,否,2021-11-19 22:04:36
自动,运行中,否,否,否,2021-11-19 22:05:13
堵线,运行中,否,否,否,2021-11-19 22:05:32
自动,运行中,否,否,否,2021-11-19 22:05:56
堵线,运行中,否,否,否,2021-11-19 22:06:15
自动,运行中,否,否,否,2021-11-19 22:07:00
堵线,运行中,否,否,否,2021-11-19 22:07:20
自动,运行中,否,否,否,2021-11-19 22:07:49
堵线,运行中,否,否,否,2021-11-19 22:08:08
堵线,空闲,否,否,否,2021-11-19 22:08:16
自动,空闲,否,否,否,2021-11-19 22:08:21
堵线,空闲,否,否,否,2021-11-19 22:08:40
