state1,state2,state3,state4,state4,time
2,1,0,0,0,2021/11/20 1:42
1,1,0,0,0,2021/11/20 1:42
2,1,0,0,0,2021/11/20 1:42
2,0,0,0,0,2021/11/20 1:43
1,0,0,0,0,2021/11/20 1:43
2,0,0,0,0,2021/11/20 1:43
3,0,0,0,0,2021/11/20 1:43
1,0,0,0,0,2021/11/20 1:45
3,0,0,0,0,2021/11/20 1:45
1,1,0,0,0,2021/11/20 1:52
2,1,0,0,0,2021/11/20 1:53
1,1,0,0,0,2021/11/20 1:53
2,1,0,0,0,2021/11/20 1:54
1,1,0,0,0,2021/11/20 1:54
2,1,0,0,0,2021/11/20 1:54
1,1,0,0,0,2021/11/20 1:54
2,1,0,0,0,2021/11/20 1:55
1,1,0,0,0,2021/11/20 1:55
2,1,0,0,0,2021/11/20 1:55
1,1,0,0,0,2021/11/20 1:55
2,1,0,0,0,2021/11/20 1:56
1,1,0,0,0,2021/11/20 1:56
2,1,0,0,0,2021/11/20 1:56
1,1,0,0,0,2021/11/20 1:56
2,1,0,0,0,2021/11/20 1:57
1,1,0,0,0,2021/11/20 1:57
2,1,0,0,0,2021/11/20 1:57
1,1,0,0,0,2021/11/20 1:57
2,1,0,0,0,2021/11/20 1:58
1,1,0,0,0,2021/11/20 1:58
2,1,0,0,0,2021/11/20 1:59
1,1,0,0,0,2021/11/20 1:59
2,1,0,0,0,2021/11/20 1:59
2,0,0,0,0,2021/11/20 1:59
1,0,0,0,0,2021/11/20 1:59
2,0,0,0,0,2021/11/20 2:00
1,0,0,0,0,2021/11/20 2:00
2,0,0,0,0,2021/11/20 2:01
1,0,0,0,0,2021/11/20 2:01
1,1,0,0,0,2021/11/20 2:01
2,1,0,0,0,2021/11/20 2:03
1,1,0,0,0,2021/11/20 2:03
2,1,0,0,0,2021/11/20 2:04
1,1,0,0,0,2021/11/20 2:04
2,1,0,0,0,2021/11/20 2:04
1,1,0,0,0,2021/11/20 2:05
2,1,0,0,0,2021/11/20 2:06
1,1,0,0,0,2021/11/20 2:06
2,1,0,0,0,2021/11/20 2:06
1,1,0,0,0,2021/11/20 2:06
2,1,0,0,0,2021/11/20 2:07
1,1,0,0,0,2021/11/20 2:07
2,1,0,0,0,2021/11/20 2:07
1,1,0,0,0,2021/11/20 2:08
2,1,0,0,0,2021/11/20 2:08
2,0,0,0,0,2021/11/20 2:08
1,0,0,0,0,2021/11/20 2:08
2,0,0,0,0,2021/11/20 2:08
1,0,0,0,0,2021/11/20 2:09
3,0,0,0,0,2021/11/20 2:09
3,1,0,0,0,2021/11/20 2:10
1,1,0,0,0,2021/11/20 2:11
2,1,0,0,0,2021/11/20 2:13
1,1,0,0,0,2021/11/20 2:13
2,1,0,0,0,2021/11/20 2:13
1,1,0,0,0,2021/11/20 2:13
2,1,0,0,0,2021/11/20 2:14
1,1,0,0,0,2021/11/20 2:15
2,1,0,0,0,2021/11/20 2:15
1,1,0,0,0,2021/11/20 2:15
2,1,0,0,0,2021/11/20 2:16
1,1,0,0,0,2021/11/20 2:16
2,1,0,0,0,2021/11/20 2:17
1,1,0,0,0,2021/11/20 2:17
2,1,0,0,0,2021/11/20 2:17
1,1,0,0,0,2021/11/20 2:18
2,1,0,0,0,2021/11/20 2:18
1,1,0,0,0,2021/11/20 2:19
2,1,0,0,0,2021/11/20 2:19
1,1,0,0,0,2021/11/20 2:19
2,1,0,0,0,2021/11/20 2:19
1,1,0,0,0,2021/11/20 2:20
2,1,0,0,0,2021/11/20 2:20
2,0,0,0,0,2021/11/20 2:20
1,0,0,0,0,2021/11/20 2:20
2,0,0,0,0,2021/11/20 2:21
3,0,0,0,0,2021/11/20 2:21
3,1,0,0,0,2021/11/20 2:22
1,1,0,0,0,2021/11/20 2:22
2,1,0,0,0,2021/11/20 2:24
1,1,0,0,0,2021/11/20 2:24
2,1,0,0,0,2021/11/20 2:24
1,1,0,0,0,2021/11/20 2:24
2,1,0,0,0,2021/11/20 2:25
1,1,0,0,0,2021/11/20 2:25
2,1,0,0,0,2021/11/20 2:25
1,1,0,0,0,2021/11/20 2:25
