条码,产线信息,设备号,设备状态,目标温度（取锡）,到达时间（取锡）,持续时间（取锡）,释放时间（取锡）,释放温度（取锡）,能量PAIN（取锡）,焊头使用次数（取锡）,目标温度（焊接）,到达时间（焊接）,持续时间（焊接）,释放时间（焊接）,释放温度（焊接）,能量PAIN（焊接）,焊头使用次数（焊接）,目标温度（脱锡）,到达时间（脱锡）,持续时间（脱锡）,释放时间（脱锡）,释放温度（脱锡）,能量PAIN（脱锡）,焊头使用次数（脱锡）,缺陷,缺陷位置,实时温度,入料时间,出料时间
CY6HMPM21B20011990,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19994.0,405.0,20.0,20.0,0.0,395.0,190.0,19994.0,280.0,20.0,10.0,0.0,270.0,190.0,19994.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",400.0,2021-11-25 10:09:05,2021-11-25 10:09:35
CY6HMPM21B20012663,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19995.0,405.0,20.0,20.0,0.0,395.0,190.0,19995.0,280.0,20.0,10.0,0.0,270.0,190.0,19995.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",390.0,2021-11-25 10:09:27,2021-11-25 10:09:58
CY6HMPM21B20009017,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19996.0,405.0,20.0,20.0,0.0,395.0,190.0,19996.0,280.0,20.0,10.0,0.0,270.0,190.0,19996.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 10:09:50,2021-11-25 10:10:19
CY6HMPM21B20012525,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19997.0,405.0,20.0,20.0,0.0,395.0,190.0,19997.0,280.0,20.0,10.0,0.0,270.0,190.0,19997.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",394.0,2021-11-25 10:10:12,2021-11-25 10:10:43
CY6HMPM21B20012521,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19998.0,405.0,20.0,20.0,0.0,395.0,190.0,19998.0,280.0,20.0,10.0,0.0,270.0,190.0,19998.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",396.0,2021-11-25 10:10:34,2021-11-25 10:11:05
CY6HMPM21B20012668,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19999.0,405.0,20.0,20.0,0.0,395.0,190.0,19999.0,280.0,20.0,10.0,0.0,270.0,190.0,19999.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",393.0,2021-11-25 10:10:57,2021-11-25 10:11:27
CY6HMPM21B20013501,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20000.0,405.0,20.0,20.0,0.0,395.0,190.0,20000.0,280.0,20.0,10.0,0.0,270.0,190.0,20000.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 10:11:20,2021-11-25 10:11:50
CY6HMPM21B20012526,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20001.0,405.0,20.0,20.0,0.0,395.0,190.0,20001.0,280.0,20.0,10.0,0.0,270.0,190.0,20001.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",394.0,2021-11-25 10:11:42,2021-11-25 10:12:12
CY6HMPM21B20012536,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20002.0,405.0,20.0,20.0,0.0,395.0,190.0,20002.0,280.0,20.0,10.0,0.0,270.0,190.0,20002.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",394.0,2021-11-25 10:12:04,2021-11-25 10:12:35
CY6HMPM21B20013507,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20003.0,405.0,20.0,20.0,0.0,395.0,190.0,20003.0,280.0,20.0,10.0,0.0,270.0,190.0,20003.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 10:12:26,2021-11-25 10:12:57
